municipio,dept,area_antropico_1985,area_antropico_2024,area_natural_1985,area_natural_2024,antropico_share_1985,antropico_share_2024,cambio_antrop_ha,cambio_antrop_pct,cambio_natural_ha,cambio_antrop_share_pp
Charaña,La Paz,133.186059576416,278.774845916748,287436.780659304,287291.191872975,0.0463143147721731,0.0969415718538015,145.588786340332,109.312331037769,-145.588786329085,0.0506272570816284
Chayanta,Potosi,455.828445349121,5339.80679599608,61209.0463548336,56325.0680041868,0.739202741959951,8.65939777433918,4883.97835064695,1071.45098128009,-4883.97835064679,7.92019503237923
Chimore,Cochabamba,7942.64322053846,27497.8349911078,267480.085059833,247924.893289282,2.8838009376093,9.98386558828726,19555.1917705693,246.20508850256,-19555.1917705504,7.10006465067795
Chipaya,Oruro,911.964727697755,270.678156658937,75933.1247994319,76574.4113704861,1.18675732347972,0.352238715999312,-641.286571038818,-70.3192296326788,641.286571054239,-0.834518607480405
Choquecota,Oruro,5464.16183508916,9080.95800165417,79018.082396099,75401.2862295318,6.46782277721733,10.7489545102567,3616.79616656502,66.1912343689945,-3616.79616656725,4.28113173303941
Chua Cocani,La Paz,1067.398874469,2781.16819062493,6858.37915591413,5144.6098397582,13.4674333595663,35.0901599813096,1713.76931615593,160.555660788802,-1713.76931615592,21.6227266217432
Chulumani,La Paz,5094.40418878759,9649.54823825062,23422.8743916444,18867.7303421805,17.8642719164769,33.8375494387893,4555.14404946304,89.4146573506785,-4555.14404946391,15.9732775223124
Chuma,La Paz,3177.42707259521,8536.01456445926,56262.6561650153,50904.0686731512,5.34559660674348,14.3607042579949,5358.58749186405,168.645491129631,-5358.58749186414,9.01510765125146
Chuquihuta,Potosi,24.8585200561524,533.475573571775,26251.8595272753,25743.2424737597,0.0946028343850836,2.03022147823347,508.617053515623,2046.04719977987,-508.617053515591,1.93561864384839
Ckochas,Potosi,10931.8838643497,13071.1559996095,197978.775890565,195839.503755305,5.23280328403276,6.25681619834238,2139.27213525978,19.5691077750673,-2139.27213525938,1.02401291430962
Cliza,Cochabamba,5053.59798346597,5397.73496116982,372.806052655026,28.6690749511719,93.1297771014942,99.4716745240433,344.13697770385,6.80974186767081,-344.136977703854,6.34189742254904
Cobija,Pando,7060.76778110964,25903.9554311958,38671.0719119756,19828.4110354683,15.4393230148207,56.6424994649645,18843.1876500862,266.871652407253,-18842.6608765073,41.2031764501438
Cocapata,Cochabamba,3838.26680933229,25404.792657245,701526.928796212,679960.402948352,0.544153132766524,3.60165100511282,21566.5258479127,561.881883653222,-21566.5258478604,3.0574978723463
Cochabamba,Cochabamba,8205.58189763177,18723.9337362792,20665.5131614379,10147.1613227906,28.4214432491851,64.8535626998918,10518.3518386474,128.185325183131,-10518.3518386473,36.4321194507067
Coipasa,Oruro,171.556507397461,980.866001440426,159261.732075238,158452.422581198,0.107603944522879,0.615220328301778,809.309494042965,471.745144687495,-809.309494040179,0.507616383778899
Colcapirhua,Cochabamba,878.805546618647,2689.07678836058,1993.64828759154,183.377045849609,30.5942444105558,93.6160141665068,1810.27124174193,205.99224125374,-1810.27124174193,63.021769755951
"Colcha""K"" (V.Martin)",Potosi,18910.5098013129,37021.8142872066,2229521.37926692,2211405.57978926,0.840832763226096,1.64656481168756,18111.3044858937,95.7737505555579,-18115.7994776648,0.805732048461461
Collana,La Paz,6350.12234114376,6602.82895076282,6118.64169907804,5865.93508945894,50.9282421309723,52.954959524965,252.706609619054,3.97955497615715,-252.706609619103,2.02671739399268
Colomi,Cochabamba,3688.69193942259,13655.232254547,52188.9792436588,42222.4389285351,6.60137020982265,24.4377261353751,9966.54031512442,270.191723212444,-9966.54031512373,17.8363559255525
Colpa Bélgica,Santa Cruz,17587.7579528752,21353.218540784,11587.4420988408,7821.98151093139,60.2832471472316,73.1896216750312,3765.4605879088,21.4095542933785,-3765.46058790939,12.9063745277996
Colquechaca,Potosi,7626.13224178465,29468.0947729978,156314.746296207,134472.783765003,4.65175757858183,17.974830338711,21841.9625312132,286.409438477057,-21841.962531204,13.3230727601292
Colquencha,La Paz,13182.4479528012,14771.9950361078,17137.4950287228,15547.9479454157,43.4778124775306,48.7203918724702,1589.54708330653,12.0580569633029,-1589.54708330711,5.24257939493958
Colquiri,La Paz,5258.28849751585,12641.4713416625,100387.024538373,93003.8416942245,4.97730410030546,11.9659556854815,7383.18284414662,140.410379682184,-7383.18284414882,6.98865158517606
Comanche,La Paz,16730.4385509639,19229.3164632382,26847.3027679573,24348.4248556827,38.3921654601673,44.1264642940296,2498.87791227424,14.9361172133188,-2498.87791227468,5.73429883386231
